"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Yankees","35","20","49","508","0","594.2","11.40","3.44","1.01",".297","74.7 %","41.3 %","12.2 %","3.38","3.33","3.38","9.2"
"Padres","28","30","36","535","0","635.0","10.20","2.93","0.89",".298","73.0 %","42.3 %","10.6 %","3.53","3.31","3.57","8.6"
"Astros","31","23","46","510","0","499.2","10.56","2.47","0.94",".281","78.8 %","42.4 %","11.2 %","3.03","3.14","3.33","7.7"
"Brewers","42","21","49","559","0","614.0","10.38","3.56","0.98",".297","76.5 %","46.8 %","13.6 %","3.47","3.57","3.47","6.6"
"Rays","55","36","52","553","0","824.1","8.23","3.13","0.96",".278","72.2 %","44.5 %","10.5 %","3.80","3.89","4.17","6.5"
"Athletics","45","17","44","578","0","641.1","8.80","3.28","1.05",".265","77.1 %","40.6 %","11.2 %","3.37","3.91","4.12","6.0"
"Giants","31","30","36","549","0","570.2","8.91","3.39","0.85",".298","71.6 %","45.6 %","10.2 %","3.79","3.63","3.93","5.3"
"Rangers","24","27","42","506","0","585.0","8.17","3.29","1.14",".299","72.1 %","44.8 %","13.0 %","4.28","4.23","4.19","5.1"
"White Sox","23","30","34","553","0","545.1","9.57","4.18","0.97",".325","70.7 %","42.0 %","10.5 %","4.49","3.99","4.28","4.9"
"Mariners","35","24","60","537","0","557.1","8.98","2.81","1.10",".295","75.5 %","41.3 %","11.4 %","3.76","3.91","4.10","4.8"
"Cubs","36","18","46","600","0","588.1","8.63","4.18","0.78",".277","76.4 %","45.3 %","9.3 %","3.35","3.89","4.29","4.7"
"Red Sox","40","16","46","535","0","587.1","9.62","3.75","0.98",".295","77.0 %","42.8 %","11.2 %","3.72","3.85","4.05","3.9"
"Phillies","26","26","44","596","0","569.1","9.18","3.48","1.06",".305","71.9 %","45.5 %","12.1 %","4.19","3.95","4.03","3.9"
"Pirates","24","23","40","480","0","546.2","9.61","3.89","0.94",".308","73.0 %","43.4 %","11.1 %","4.03","3.86","4.05","3.9"
"Rockies","32","29","51","518","0","520.1","9.10","3.75","1.06",".304","67.1 %","45.8 %","12.8 %","4.62","4.05","4.04","3.6"
"Twins","35","30","37","566","0","610.1","9.10","3.27","1.31",".311","72.8 %","42.2 %","14.5 %","4.45","4.28","4.04","3.2"
"Braves","30","26","40","553","0","557.0","8.98","4.41","0.84",".298","72.0 %","43.4 %","10.7 %","4.15","3.98","4.21","2.9"
"Reds","26","27","38","544","0","602.1","7.98","3.68","1.15",".295","72.9 %","45.1 %","13.6 %","4.14","4.41","4.30","2.6"
"Orioles","19","31","28","490","0","597.1","8.12","4.32","1.13",".312","71.6 %","43.7 %","12.6 %","4.78","4.59","4.60","2.5"
"Tigers","28","31","37","542","0","579.2","7.92","3.43","1.12",".300","70.8 %","41.0 %","11.2 %","4.52","4.29","4.50","2.4"
"Dodgers","35","33","48","593","0","581.1","9.68","3.08","1.16",".286","75.3 %","43.4 %","13.6 %","3.72","3.88","3.77","2.2"
"Angels","34","25","35","601","0","632.0","8.59","3.69","1.17",".294","75.3 %","43.5 %","13.1 %","3.92","4.32","4.26","2.1"
"Blue Jays","34","22","39","590","0","594.1","9.07","3.36","1.29",".315","73.5 %","40.4 %","12.4 %","4.45","4.32","4.36","1.6"
"Diamondbacks","23","35","39","573","0","541.1","8.23","3.57","1.00",".280","76.6 %","50.6 %","12.6 %","3.56","4.08","4.08","0.7"
"Nationals","27","27","40","562","0","528.2","8.49","3.23","1.38",".277","77.2 %","40.7 %","13.6 %","4.05","4.51","4.38","0.6"
"Cardinals","29","28","43","565","0","565.2","8.31","4.34","0.95",".306","71.1 %","43.8 %","10.9 %","4.38","4.27","4.50","0.6"
"Indians","15","29","41","508","0","463.2","9.28","3.16","1.51",".300","74.5 %","44.1 %","17.0 %","4.60","4.53","3.98","0.0"
"Mets","27","36","41","501","0","546.1","8.47","3.67","1.35",".303","70.0 %","37.1 %","12.2 %","4.96","4.61","4.68","-0.2"
"Royals","20","36","33","483","0","542.2","7.31","4.15","1.28",".314","70.9 %","48.3 %","14.4 %","5.04","4.85","4.63","-1.7"
"Marlins","27","33","30","546","0","606.1","7.97","4.14","1.13",".310","66.0 %","43.3 %","11.9 %","5.34","4.56","4.68","-2.2"
